orderId,TIMESTMP,status
"249124391","2023070401:05:31/084","UPLOADED"
"249388171","2023070401:05:31/101","UPLOADED"
"249434591","2023070401:05:31/118","UPLOADED"
"249074461","2023070401:06:01/024","UPLOADED"
"249096161","2023070401:06:01/044","UPLOADED"
"249106281","2023070401:06:01/061","UPLOADED"
"249112821","2023070401:06:01/078","UPLOADED"
"249122581","2023070401:06:01/095","UPLOADED"
"249181901","2023070401:06:01/112","UPLOADED"
"249183691","2023070401:06:01/134","UPLOADED"
"249255921","2023070401:06:01/165","UPLOADED"
"249470691","2023070401:06:01/183","UPLOADED"
"249100111","2023070401:06:30/259","UPLOADED"
"249102031","2023070401:06:30/306","UPLOADED"
"249263371","2023070401:06:30/339","UPLOADED"
"249375321","2023070401:06:30/415","UPLOADED"
"249436161","2023070401:07:00/634","UPLOADED"
"249447981","2023070401:07:00/665","UPLOADED"
"249055761","2023070401:07:30/618","UPLOADED"
"249178371","2023070401:07:30/649","UPLOADED"
"249305351","2023070401:07:30/681","UPLOADED"
"249481491","2023070401:07:30/712","UPLOADED"
"249107561","2023070401:08:00/978","UPLOADED"
"249180521","2023070401:08:01/009","UPLOADED"
"249189381","2023070401:08:01/039","UPLOADED"
"249180671","2023070401:08:01/056","UPLOADED"
"249093261","2023070401:08:30/149","UPLOADED"
"249325371","2023070401:08:30/181","UPLOADED"
"248545171","2023070401:09:00/432","UPLOADED"
"249090281","2023070401:09:00/454","UPLOADED"
"249139381","2023070401:09:00/472","UPLOADED"
"249179571","2023070401:09:00/492","UPLOADED"
"249185861","2023070401:09:00/509","UPLOADED"
"249191501","2023070401:09:00/526","UPLOADED"
"249436061","2023070401:09:00/556","UPLOADED"
"249106821","2023070401:09:30/621","UPLOADED"
"249116091","2023070401:09:30/643","UPLOADED"
"249133161","2023070401:09:30/660","UPLOADED"
"249438111","2023070401:09:30/677","UPLOADED"
"249092241","2023070401:10:00/884","UPLOADED"
"249194791","2023070401:10:00/913","UPLOADED"
"249281741","2023070401:10:00/931","UPLOADED"
"249111781","2023070401:10:30/134","UPLOADED"
"249176301","2023070401:10:30/165","UPLOADED"
"249221371","2023070401:10:30/194","UPLOADED"
"249227281","2023070401:10:30/212","UPLOADED"
"249269241","2023070401:10:30/241","UPLOADED"
"249275351","2023070401:10:30/275","UPLOADED"
"249016711","2023070401:10:30/306","UPLOADED"
"249059691","2023070401:11:00/486","UPLOADED"
"249104361","2023070401:11:00/505","UPLOADED"
"249181211","2023070401:11:00/525","UPLOADED"
"249325911","2023070401:11:00/556","UPLOADED"
"249434541","2023070401:11:00/585","UPLOADED"
"249170601","2023070401:11:30/636","UPLOADED"
"249184611","2023070401:11:30/655","UPLOADED"
"249020541","2023070401:12:00/868","UPLOADED"
"249088441","2023070401:12:00/887","UPLOADED"
"249110161","2023070401:12:00/908","UPLOADED"
"249222931","2023070401:12:00/931","UPLOADED"
"249079661","2023070401:12:30/194","UPLOADED"
"249435321","2023070401:12:30/228","UPLOADED"
"249436781","2023070401:12:30/245","UPLOADED"
"248475191","2023070401:13:00/384","UPLOADED"
"249073521","2023070401:13:00/415","UPLOADED"
"249116601","2023070401:13:00/432","UPLOADED"
"249177631","2023070401:13:00/449","UPLOADED"
"249178731","2023070401:13:00/467","UPLOADED"
"249187801","2023070401:13:00/484","UPLOADED"
"249234971","2023070401:13:00/501","UPLOADED"
